dimension,score_0,score_1,score_2,score_3,score_4,score_5,evidence_prompt
Learnability,Missing task guidance,User cannot infer next step,Requires training/support,Mostly understandable,Clear for most users,Self-explanatory for target users,Can a first-time user understand what to do next?
Efficiency,Task impossible or circular,Major redundant steps,Multiple unnecessary steps,Adequate step count,Streamlined with minor friction,Shortest safe path,Are unnecessary steps fields and decisions removed?
Navigation clarity,No clear location or exits,Users likely get lost,Back/cancel unclear,Navigation is usable,Navigation is clear,Location path and recovery are obvious,Does the user know where they are and where to go next?
Information architecture,No meaningful grouping,Organization-centric grouping,Some confusing groupings,Mostly logical,User-centered grouping,Matches user mental model,Is information grouped the way users think about the task?
Content clarity,Missing or misleading labels,Jargon-heavy,Several ambiguous labels,Adequate labels,Clear plain language,Precise actionable language,Are labels instructions and messages plain and specific?
Consistency,Contradictory patterns,Many inconsistent terms,Some inconsistent components,Mostly consistent,Consistent patterns,Design-system aligned,Are terms actions and components consistent?
Error prevention,No prevention,High likelihood of preventable errors,Limited prevention,Basic validation,Strong inline prevention,Errors prevented wherever feasible,Does the design stop users before they make mistakes?
Error recovery,No recovery path,Errors are vague or dead-end,Some guidance but weak,Actionable errors,Clear recovery paths,Recovery is obvious and reassuring,Can users understand and recover from errors?
Accessibility,Blocks assistive users,Major WCAG risk,Multiple accessibility gaps,Basic accessibility considered,Strong accessibility coverage,Inclusive by design,Can keyboard screen reader touch and low-vision users complete the task?
Cognitive load,Overwhelming,Too much memory burden,High visual or decision load,Acceptable,Low cognitive burden,Effortless progressive disclosure,Does the design reduce memory load and visual noise?
Trust and transparency,Hidden consequences,Low trust or unclear consequences,Some unclear status or privacy issues,Adequate status,Clear status and consequences,Users always understand implications,Are progress permissions privacy price or irreversible actions clear?
Developer readiness,Not implementable,Major ambiguity,Many missing states/data/rules,Implementable with follow-up,Mostly complete,Ready for build and QA,Are states validations data events and acceptance criteria specified?
Visual hierarchy & modern aesthetic,No hierarchy or styling intent,Visually confusing or dated,Weak hierarchy or ad-hoc styling,Adequate but generic,Clear hierarchy and coherent style,Intentional modern look with strong hierarchy,Does the eye land on the right thing first and does it feel modern and on-purpose?
Motion & feedback,No feedback on actions,Jarring or missing motion,Sparse or inconsistent feedback,Basic feedback present,Smooth consistent feedback,Purposeful tokenized motion with reduced-motion support,Does motion communicate state and respect prefers-reduced-motion?
